route_id,service_id,trip_id,trip_headsign,direction_id,block_id
DUA8008530212005,9932,DUASN123469F01002-1_305980,"OPOC",0,
DUA8008530212005,9931,DUASN123465F01001-1_305981,"OPOC",0,
DUA8008530212005,9932,DUASN123465F01002-1_305982,"OPOC",0,
DUA8008530212005,9929,DUASN123489F01001-1_305983,"OPOC",0,
DUA8008530212005,9931,DUASN123475F01001-1_305984,"OPOC",0,
DUA8008530212005,9931,DUASN123467F01001-1_305985,"OPOC",0,
DUA8008530212005,9932,DUASN123461F01002-1_305986,"OPOC",0,
DUA8008530212005,9931,DUASN123463F01001-1_305987,"OPOC",0,
DUA8008530212005,9932,DUASN123463F01002-1_305988,"OPOC",0,
DUA8008530212005,9931,DUASN123461F01001-1_305989,"OPOC",0,
DUA8008530212005,8994,DUASN123557F01001-1_305990,"OPOC",0,
DUA8008530212005,9928,DUASN123443F01001-1_305991,"ODEA",0,
DUA8008530212005,9928,DUASN123447F01001-1_305992,"ODEA",0,
DUA8008530212005,9934,DUASN123593F01001-1_305993,"OPOC",0,
DUA8008530212005,8994,DUASN123501F01001-1_305994,"OPOC",0,
DUA8008530212005,9929,DUASN123449F01001-1_305995,"OPOC",0,
DUA8008530212005,9928,DUASN123437F01001-1_305996,"ODEA",0,
DUA8008530212005,9929,DUASN123439F01001-1_305997,"OPOC",0,
DUA8008530212005,9939,DUASN123439F01002-1_305998,"OPOC",0,
DUA8008530212005,9928,DUASN123433F01001-1_305999,"ODEA",0,
DUA8008530212005,8994,DUASN123585F01001-1_306000,"OPOC",0,
DUA8008530212005,9934,DUASN123595F01001-1_306001,"OPOC",0,
DUA8008530212005,8994,DUASN123579F01001-1_306002,"OPOC",0,
DUA8008530212005,9928,DUASN123583F01001-1_306003,"OPOC",0,
DUA8008530212005,9931,DUASN123595F01002-1_306004,"OPOC",0,
DUA8008530212005,9933,DUASN123591F01001-1_306005,"OPOC",0,
DUA8008530212005,9931,DUASN123591F01002-1_306006,"OPOC",0,
